Questions,Answers
What is NSL_BankChequeReservedCU?,Bank Cheque reserved CU is where the user can upload the bank cheque as an image or a file and the details will be extracted as data.
Where can we use NSL_BankChequeReservedCU?,Bank Cheque reserved CU is where the user can upload the bank cheque as an image or a file and the details will be extracted as data.
Can we develop a solution that extracts the fields from the image of bank cheque and convert it to data?,Bank Cheque reserved CU is where the user can upload the bank cheque as an image or a file and the details will be extracted as data.
What is a Boolean Function in NSLhub Kit?,Boolean Functions under NSLhub Kit is used to create Boolean objects (basically to store one value out of two). It can be used to convert strings into Boolean and vice versa. .
Where can we use Boolean Function reserved CU?,Boolean Functions under NSLhub Kit is used to create Boolean objects (basically to store one value out of two). It can be used to convert strings into Boolean and vice versa. .
When should I use Boolean Function Reserved CU?,Boolean Functions under NSLhub Kit is used to create Boolean objects (basically to store one value out of two). It can be used to convert strings into Boolean and vice versa. .
What is the use of Boolean Function in NSLhub Kit?,Boolean Functions under NSLhub Kit is used to create Boolean objects (basically to store one value out of two). It can be used to convert strings into Boolean and vice versa. .
Can I link a CU with any previous CU to form a loop based on condition?,By design. Considerations will be taken care in the upcoming version
What is NSL_CarInsuranceReservedCU ?,"Car insurance reserved CU is where the user can upload the soft copy as an image or a file, and the details will be extracted in a form of data."
Where can we use NSL_CarInsuranceReservedCU ?,"Car insurance reserved CU is where the user can upload the soft copy as an image or a file, and the details will be extracted in a form of data."
Can we develop a solution that extracts the details from the image of car insurance policy and convert to data?,"Car insurance reserved CU is where the user can upload the soft copy as an image or a file, and the details will be extracted in a form of data."
What is NSL_CCAvenuePaymentRequest?,CCAvenue is a payment gateway service which you can incorporate into a solution to send payment requests
Can we add CCAvenue payment request to the solution?,CCAvenue is a payment gateway service which you can incorporate into a solution to send payment requests
What is the difference between complete and triggered status under my transactions?,Complete status defines that the transaction was completed whereas the triggered status defines that the solution was triggered and is yet to complete
What is the complete status under My Transaction?,Complete status defines that the transaction was completed.
What is the use of configure option while creating an Entity?,Configure option is where you can define or select the layout of the Entity in a solution. It can be a table or Card
What is Date Range UI control?,"Date Range UI control is used when the user has to define the start and end date for a particular task. Ex: Validity of Passport, date of dep and date of return"
"Can we develop a solution which provide two dates like ""to and from"" or specific date ranges into a solution?","Date Range UI control is used when the user has to define the start and end date for a particular task. Ex: Validity of Passport, date of dep and date of return"
What is Date UI control?,"Date UI control allows the users to select the date that maybe from past, present, or future."
Can we develop a solution with calendar or a date option?,"Date UI control allows the users to select the date that maybe from past, present, or future."
What is the UI control to insert date into a solution?,"Date UI control allows the users to select the date that maybe from past, present, or future."
What is a default Value?,Default value is used to describe an Attribute so that the end-user knows what input is to be provided.
What is the use of default value?,Default value is used to describe an Attribute so that the end-user knows what input is to be provided.
When do we use default value?,Default value is used to describe an Attribute so that the end-user knows what input is to be provided.
What is NSL_DepositslipReservedCU?,"Deposit slip reserved CU is where the user can upload the soft copy as an image or a file, and the details will be extracted in a form of data."
Where can we use NSL_DepositslipReservedCU?,"Deposit slip reserved CU is where the user can upload the soft copy as an image or a file, and the details will be extracted in a form of data."
Can we develop a solution that extracts the details from the image of deposit slip and convert to data?,"Deposit slip reserved CU is where the user can upload the soft copy as an image or a file, and the details will be extracted in a form of data."
From which mode should I publish my GSI when once edited?,Draft mode
What is NSL_DrivingLicenceReservedCU?,"Driving license reserved CU is where the user can upload the soft copy as an image or file, and the details will be extracted in a form of data."
Where can we use NSL_DrivingLicenceReservedCU?,"Driving license reserved CU is where the user can upload the soft copy as an image or file, and the details will be extracted in a form of data."
Can we develop a solution that extracts the details from the image of driving license and convert to data?,"Driving license reserved CU is where the user can upload the soft copy as an image or file, and the details will be extracted in a form of data."
What is an embedded GSI?,Embedded GSI is the set of the whole solution which can be used within another solution.
What is meant by embedded GSI?,Embedded GSI is the set of the whole solution which can be used within another solution.
What is the purpose of embedded GSI?,Embedded GSI is the set of the whole solution which can be used within another solution.
What is the use of extract option?,"Extract option is used to extract solutions from sources/files such as programs, measures/metrics, SOPs, flowcharts, best practices, video, audio, and so on."
What is NSL_GenerateBarCode Reserved CU?,Generate Barcode reserved CU can be used to generate the Barcode for the information that we want to display if the code is scanned.
Where can we use NSL_GenerateBarCode Reserved CU?,Generate Barcode reserved CU can be used to generate the Barcode for the information that we want to display if the code is scanned.
Can we develop a solution that can generate Barcode for the information?,Generate Barcode reserved CU can be used to generate the Barcode for the information that we want to display if the code is scanned.
What is NSL_GenerateQRCode Reserved CU?,Generate QR code reserved CU is used to generate the QR code for the information that the user wants to display when the code is scanned.
Where can we useNSL_GenerateQRCode Reserved CU?,Generate QR code reserved CU is used to generate the QR code for the information that the user wants to display when the code is scanned.
Can we develop a solution to generate QR code which can be scanned to display the information or links?,Generate QR code reserved CU is used to generate the QR code for the information that the user wants to display when the code is scanned.
What if I want to add an additional Attribute after publishing the Entity?,"Go to Entity library, find the Entity that you wish to update, add the Attribute and follow the approval process. If you have already used this Entity in any of the CUs, replace the previous version of Entity with updated Entity for seamless exeCUtion of solution."
How to publish a solution?,"If you're working in teams you can publish your solution following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review , 
 Step 4: Select Reviewer, 
 Step 5: Select the Reviewer from the drop down, 
 Step 6: Select send.
 Note : Once the reviewer has approved the solution, it gets published.
 
 If you're working as an individual you can publish the solution by following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review
 Step 4: Select Publish
 Step 5: Select Approve"
How can I publish a solution?,"If you're working in teams you can publish your solution following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review , 
 Step 4: Select Reviewer, 
 Step 5: Select the Reviewer from the drop down, 
 Step 6: Select send.
 Note : Once the reviewer has approved the solution, it gets published.
 
 If you're working as an individual you can publish the solution by following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review
 Step 4: Select Publish
 Step 5: Select Approve"
How do I publish a solution?,"If you're working in teams you can publish your solution following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review , 
 Step 4: Select Reviewer, 
 Step 5: Select the Reviewer from the drop down, 
 Step 6: Select send.
 Note : Once the reviewer has approved the solution, it gets published.
 
 If you're working as an individual you can publish the solution by following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review
 Step 4: Select Publish
 Step 5: Select Approve"
What is the procedure to publish a solution?,"If you're working in teams you can publish your solution following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review , 
 Step 4: Select Reviewer, 
 Step 5: Select the Reviewer from the drop down, 
 Step 6: Select send.
 Note : Once the reviewer has approved the solution, it gets published.
 
 If you're working as an individual you can publish the solution by following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review
 Step 4: Select Publish
 Step 5: Select Approve"
What are the steps involved to publish a solution?,"If you're working in teams you can publish your solution following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review , 
 Step 4: Select Reviewer, 
 Step 5: Select the Reviewer from the drop down, 
 Step 6: Select send.
 Note : Once the reviewer has approved the solution, it gets published.
 
 If you're working as an individual you can publish the solution by following the below steps
 Step 1: Save the solution if it was not saved. 
 Step 2: Select Finish, 
 Step 3: Select Review
 Step 4: Select Publish
 Step 5: Select Approve"
What is the use of Change Driver type under UI controls?,"In NSL, Change Driver Type provides the flexibility to make the Change Drivers (Entity/Attributes) as optional, negative or alternate in CUs."
What are Change Driver type at Entity level?,"In NSL, Change Driver Type provides the flexibility to make the Change Drivers (Entity/Attributes) as optional, negative or alternate in CUs."
What is NSL_IntermediateMarksSheet Reserved CU?,Intermediate marks sheet reserved CU is where the user can upload the intermediate marksheet as an image or file and the details will be extracted as data.
Where can we use NSL_IntermediateMarksSheet Reserved CU?,Intermediate marks sheet reserved CU is where the user can upload the intermediate marksheet as an image or file and the details will be extracted as data.
Can we develop a solution that extracts the details from the image of intermediate marks sheet and convert to data?,Intermediate marks sheet reserved CU is where the user can upload the intermediate marksheet as an image or file and the details will be extracted as data.
What is Time and Space option while assigning CUs?,It's used to measure the CU time while it gets executed. For example OTP time or transaction session timeouts.
What is NSL_JobDescription Reserved CU?,Job description reserved CU can be used for HR and recruiting solutions where the job descriptions can be populated.
Where can we use NSL_JobDescription Reserved CU?,Job description reserved CU can be used for HR and recruiting solutions where the job descriptions can be populated.
Can we develop a solution that extracts the details from the image of job description and convert to data?,Job description reserved CU can be used for HR and recruiting solutions where the job descriptions can be populated.
What is NSL_LabReport Reserved CU?,Lab report reserved CU can be used for medical and health care solutions. The user can upload the lab report as an image or a file and the details will be extracted as data.
Where can we use SL_LabReport Reserved CU?,Lab report reserved CU can be used for medical and health care solutions. The user can upload the lab report as an image or a file and the details will be extracted as data.
Can we develop a solution that extracts the details from the image of any lab report and convert to data?,Lab report reserved CU can be used for medical and health care solutions. The user can upload the lab report as an image or a file and the details will be extracted as data.
What is label UI Control?,Label UI is used to describe or label the Attribute filed under the Attribute
Is it possible to mention the description below the fields to describe what to be mentioned in the fields?,Label UI is used to describe or label the Attribute filed under the Attribute
How do I limit the length of a input?,"Length Type Validator is used when you want to restrict the number of characters or items to be entered in an input.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Length Type' from the Select Validator drop down.
 Step 4: Enter the value that you wish to 
 Step 5: Enter your error message 
 Step 6: Select + Icon"
How do I use Length Type Validator?,"Length Type Validator is used when you want to restrict the number of characters or items to be entered in an input.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Length Type' from the Select Validator drop down.
 Step 4: Enter the value that you wish to 
 Step 5: Enter your error message 
 Step 6: Select + Icon"
What are the steps to use length type Validator?,"Length Type Validator is used when you want to restrict the number of characters or items to be entered in an input.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Length Type' from the Select Validator drop down.
 Step 4: Enter the value that you wish to 
 Step 5: Enter your error message 
 Step 6: Select + Icon"
How do I select length type Validator?,"Length Type Validator is used when you want to restrict the number of characters or items to be entered in an input.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Length Type' from the Select Validator drop down.
 Step 4: Enter the value that you wish to 
 Step 5: Enter your error message 
 Step 6: Select + Icon"
How do I restrict the number of items to an input ?,"Length Type Validator is used when you want to restrict the number of characters or items to be entered in an input.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Length Type' from the Select Validator drop down.
 Step 4: Enter the value that you wish to 
 Step 5: Enter your error message 
 Step 6: Select + Icon"
How do I restrict the number of characters to a value ?,"Length Type Validator is used when you want to restrict the number of characters or items to be entered in an input.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Length Type' from the Select Validator drop down.
 Step 4: Enter the value that you wish to 
 Step 5: Enter your error message 
 Step 6: Select + Icon"
What is the use of link option while editing CU?,Link option is used to link the CUs and skips to show CUs in a sequence. Example: CU1 to CU3 and skips the CU2 if the CU1 and CU3 are linked
What is NSL_LipidProfile Reserved CU?,Lipid profile is where the user can upload the lipid profile as an image or file and the details will be extracted as data.
Where can we use NSL_LipidProfile Reserved CU?,Lipid profile is where the user can upload the lipid profile as an image or file and the details will be extracted as data.
Can we develop a solution that extracts the details from the image of Lipid And convert to data?,Lipid profile is where the user can upload the lipid profile as an image or file and the details will be extracted as data.
When can we select the Machine Agent?,Machine agent can be selected if the machine or system is running the operations or automatic triggers are defined.
When to select the Machine Agent?,Machine agent can be selected if the machine or system is running the operations or automatic triggers are defined.
When can we consider the Machine Agent?,Machine agent can be selected if the machine or system is running the operations or automatic triggers are defined.
When should I choose the Machine agent?,Machine agent can be selected if the machine or system is running the operations or automatic triggers are defined.
Is there a way to check maximum file size before uploading?,"Max File Size Type Validator is used to check that the file that has been chosen by the end user meets the maximum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
What is Max file size type in select Validators for Audio?,"Max File Size Type Validator is used to check the file that has been chosen by the end user meets the maximum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
when do we use max file size type Validator?,"Max File Size Type Validator is used to check the file that has been chosen by the end user meets the maximum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
What is the purpose of max file type Validator?,"Max File Size Type Validator is used to check the file that has been chosen by the end user meets the maximum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
What is Max file size type in select Validators for File UI control?,"Max File Size Type Validator is used to check the file that has been chosen by the end user meets the maximum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
Can I set maximum file size for uploading a file ?,"Max File Size Type Validator is used to check the file that has been chosen by the end user meets the maximum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
How do I select Max Type Validator?,"Max Type Validator is used when you want the end user to provide value which is smaller than or equal to the specified integer value.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Max Type' from the Select Validator drop down.
 Step 4: Enter the maximum value that you wish to provide 
 Step 5: Enter you error message
 Step 6: Select + Icon"
How to choose Max Type Validator?,"Max Type Validator is used when you want the end user to provide value which is smaller than or equal to the specified integer value.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Max Type' from the Select Validator drop down.
 Step 4: Enter the maximum value that you wish to provide 
 Step 5: Enter you error message
 Step 6: Select + Icon"
How do I limit a field to accept a value which is lower than a specified number?,"Max Type Validator is used when you want the end user to provide value which is smaller than or equal to the specified integer value.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Max Type' from the Select Validator drop down.
 Step 4: Enter the maximum value that you wish to provide 
 Step 5: Enter you error message
 Step 6: Select + Icon"
How can I make an Attribute to accept a value lower than or equal to a specific number?,"Max Type Validator is used when you want the end user to provide value which is smaller than or equal to the specified integer value.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Max Type' from the Select Validator drop down.
 Step 4: Enter the maximum value that you wish to provide 
 Step 5: Enter you error message
 Step 6: Select + Icon"
What is Max Type Validator?,"Max Type Validator sets the condition/limit in the field where the input provided by the end user must be an integer value lower than or equal to the number specified in the field. It is available for Currency, Decimal, Metric and Number UI controls"
What is the use of Max Type Validator?,"Max Type Validator sets the condition/limit in the field where the input provided by the end user must be an integer value lower than or equal to the number specified in the field. It is available for Currency, Decimal, Metric and Number UI controls"
Can I restrict a user to give a value less than or equal to specific number?,"Max Type Validator sets the condition/limit in the field where the input provided by the end user must be an integer value lower than or equal to the number specified in the field. It is available for Currency, Decimal, Metric and Number UI controls"
Can I make an Attribute to accept a value lower than or equal to a specific number?,"Max Type Validator sets the condition/limit to the field where the input provided by the end user must be an integer value lower than or equal to the number specified in the field. It is available for Currency, Decimal, Metric and Number UI controls"
What is the Metadata?,Metadata summarizes the basic information regarding an input or data and it is available at GSI and CU level
What is Metric UI Control?,"Metric UI is used to predefine the metrics like measurements. The Attribute field will display the Attribute fields': Hight's : xxx FT, cm"
"Is it possible to define the measures like KG, Pounds etc. beside the fields?","Metric UI is used to predefine the metrics like measurements. The Attribute field will display the Attribute fields': Hight's : xxx FT, cm"
What is min file size type in select Validators for Audio?,"Min File Size Type Validator is used to check the file that has been chosen by the end user meets the minimum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
What is the use of min file size type Validator?,"Min File Size Type Validator is used to check the file that has been chosen by the end user meets the minimum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
When do we add min file size type Validator to an Attribute,"Min File Size Type Validator is used to check the file that has been chosen by the end user meets the minimum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
Is there a way to check minimum file size before uploading?,"Min File Size Type Validator is used to check the file that has been chosen by the end user meets the minimum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
What is min file size type in select Validators for File UI control?,"Min File Size Type Validator is used to check the file that has been chosen by the end user meets the minimum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
Can I set minimum size for uploads ?,"Min File Size Type Validator is used to check the file that has been chosen by the end user meets the minimum file size requirement before uploading in a server. If it does not follow the minimum defined size, an error message is shown"
What is the use of More option?,"More option is used to choose the CU type like Alternate, Parallel, so on"
What is the function of More option?,"More option is used to choose the CU type like Alternate, Parallel, so on"
When do you use More option?,"More option is used to choose the CU type like Alternate, Parallel, so on"
Where can I choose to select CU type?,"More option is used to choose the CU type like Alternate, Parallel, so on"
How do I select Negative or Zero type Validator?,"Negative or Zero Validator Type is used when you want the end users to provide an input value which is either positive or zero.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select ' Negative or Zero ' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I choose Negative or zero type Validator?,"Negative or Zero Validator Type is used when you want the end users to provide an input value which is either positive or zero.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select ' Negative or Zero ' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I make an Attribute accept only negative or zero values?,"Negative or Zero Validator Type is used when you want the end users to provide an input value which is either positive or zero.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select ' Negative or Zero ' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I restrict a user to input only negative values including zero?,"Negative or Zero Validator Type is used when you want the end users to provide an input value which is either positive or zero.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select ' Negative or Zero ' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I select negative type Validator?,"Negative Type is used when you want the end users to provide an input value which is strictly a negative.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How to chose negative type Validator?,"Negative Type is used when you want the end users to provide an input value which is strictly a negative.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I make the Attribute to accept only negative values?,"Negative Type is used when you want the end users to provide an input value which is strictly a negative.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How can I restrict a user to provide only negative input?,"Negative Type is used when you want the end users to provide an input value which is strictly a negative.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How can I limit a user to provide only negative values to an Attribute?,"Negative Type is used when you want the end users to provide an input value which is strictly a negative.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
What is Negative Type for Number UI control?,"Negative type Validator is used when you want an input value to be strictly negative. If a user provides either a positive value or 0, it will show an error message."
When do we use Negative Type UI Control?,"Negative type Validator is used when you want an input value to be strictly negative. If a user provides either a positive value or 0, it will show an error message."
What is the use of Negative UI control?,"Negative type Validator is used when you want an input value to be strictly negative. If a user provides either a positive value or 0, it will show an error message."
Can I limit the user to provide only negative value ?,"Negative type Validator is used when you want an input value to be strictly negative. If a user provides either a positive value or 0, it will show an error message."
What is Nested CUs?,Nested CUs are triggered based on certain conditions being fulfilled.
Can I provide DCD at CU level?,"No, Currently the platform does not allow to add DCDs at a CU level."
Is it possible to link CUs through DCDs?,"No, Currently the platform does not allow to add DCDs at a CU level."
Can I link two CUs through DCD?,"No, Currently the platform does not allow to add DCDs at a CU level."
Is it possible to delete the physical layer?,"No, it is not possible to delete the physical layer"
Do we have an option to delete the physical layer?,"No, it is not possible to delete the physical layer"
Is it necessary to add an agent at the Entity level?,"No, It's not mandatory to add an agent at the Entity level. You can add agent at GSI/CU/Entity/Attribute levels according to your need"
Is it mandatory to add an agent at theEntity level?,"No, It's not mandatory to add an agent at the Entity level. You can add agent at GSI/CU/Entity/Attribute levels according to your need"
Do I need to save the solution all the time?,"No, the solution will be auto-saved in drafts even if you have not saved it in a Book"
Do we have the auto save option in the platform?,"No, the solution will be auto-saved in drafts even if you have not saved it in a Book"
What is not empty type?,Not Empty type Validator is used when you do not want an input to be empty however can accept 0 as a value. It checks the length of the character should at least be one or the value must have at least have one item
What is the purpose of Not Empty Type Validator?,Not Empty type Validator is used when you do not want an input to be empty however can accept 0 as a value. It checks the length of the character should at least be one or the value must have at least have one item
When Can I use Not Empty Type Validator?,Not Empty type Validator is used when you do not want an input to be empty however can accept 0 as a value. It checks the length of the character should at least be one or the value must have at least have one item
When do I use Not Empty Type Validator?,Not Empty type Validator is used when you do not want an input to be empty however can accept 0 as a value. It checks the length of the character should at least be one or the value must have at least have one item
What is the use of not empty type in Validators ?,Not Empty type Validator is used when you do not want an input to be empty however can accept 0 as a value. It checks the length of the character should at least be one or the value must have at least have one item
Can I make sure that the end user must enter some value to an Attribute?,Not Empty type Validator is used when you do not want an input to be empty however can accept 0 as a value. It checks the length of the character should at least be one or the value must have at least have one item
How do I select Not Empty Type Validator?,"Not Empty type Validator is used when you do not want an input to be empty.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Not Empty Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Select + Icon"
What are the steps to select Not Empty Type Validator?,"Not Empty type Validator is used when you do not want an input to be empty.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Not Empty Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Select + Icon"
How do I make sure that a user gives some input to a field ?,"Not Empty type Validator is used when you do not want an input to be empty.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Not Empty Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Select + Icon"
How to make an Attribute filed not empty?,"Not Empty type Validator is used when you do not want an input to be empty.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Not Empty Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Select + Icon"
How do I select not zero type Validator?,"Not Zero Type is used when you want the end users to provide any integer value that is not 0 as an input
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How to choose not zero type Validator?,"Not Zero Type is used when you want the end users to provide any integer value that is not 0 as an input
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How can I make an Attribute to accept all integer values but 0?,"Not Zero Type is used when you want the end users to provide any integer value that is not 0 as an input
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I restrict users to provide any integer value accept 0?,"Not Zero Type is used when you want the end users to provide any integer value that is not 0 as an input
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I make an input field to accept any integer value excluding 0,"Not Zero Type is used when you want the end users to provide any integer value that is not 0 as an input
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Negative' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
What is not zero type Validator?,"Not Zero Type is used when you want the end users to provide any integer value that is not 0 as an input. It is available for Currency, Decimal, Metric, and Number UI Controls"
